source_document_id,source_document_key,visa_id,document_type,document_name,notice_round,published_at,source_location,file_hash_sha256,page_basis,last_verified_at
c4e3a139-af13-44ce-b72f-1f223bfc8db5,f4r_r12_announcement,606d8651-1d04-47fe-8f69-165b3ed3d834,ANNOUNCEMENT,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,12,2025-03-07,,,PDF,2026-08-14
2c892d50-7de9-431f-95f7-c02c7b2a7d76,r17_announcement_2026_df1fdde9,a228433b-abe4-4785-8496-3e1cb3d597c1,ANNOUNCEMENT,1. 충북 지역특화형 비자 사업 지역우수인재(F-2-R) 공고문(2026년 17차).pdf,17,2026-08-03,data/raw/지역특화_우수인재_F-2-R/공고_지침/1. 충북 지역특화형 비자 사업 지역우수인재(F-2-R) 공고문(2026년 17차).hwpx,,CONVERTED_PDF,2026-08-15
6fe08cb5-96dd-4784-b266-f72d517595fc,r17_attachment_2026_07f157ee,a228433b-abe4-4785-8496-3e1cb3d597c1,ATTACHMENT,2. 충북 지역특화형 비자 사업 지역우수인재(F-2-R) 공고 붙임자료(2026년 17차).pdf,17,2026-08-03,data/raw/지역특화_우수인재_F-2-R/안내_참고자료/2. 충북 지역특화형 비자 사업 지역우수인재(F-2-R) 공고 붙임자료(2026년 17차).hwpx,,CONVERTED_PDF,2026-08-15
d3c64f30-9c86-4459-93d5-bfbb02863e5c,e74r_r8_announcement,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,ANNOUNCEMENT,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차),8,2026-08-03,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차).hwpx,,HWPX,2026-08-21
5a8d1bdc-94c6-4411-88b2-7cf59d930363,e74r_r1_to_r2,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 1차).pdf → 공고(2026년 2차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 1차).hwpx -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 2차).hwp,,HWPX,2026-08-21
61b08f67-7593-4db0-9997-02c322b4600c,e74r_r2_to_r3,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 2차).pdf → 공고(2026년 3차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 2차).hwp -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 3차).hwp,,HWPX,2026-08-21
a428bbd3-7702-4d9f-96d7-696cea92c415,e74r_r3_to_r4,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 3차).pdf → 공고(2026년 4차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 3차).hwp -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 4차).hwp,,HWPX,2026-08-21
a501551f-63d8-4ba5-8fb6-72e37c412d88,e74r_r4_to_r5,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 4차).pdf → 공고(2026년 5차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 4차).hwp -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 5차).hwpx,,HWPX,2026-08-21
900ab670-83f2-4d5b-89d5-511d6b2b0a60,e74r_r5_to_r6,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 5차).pdf → 공고(2026년 6차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 5차).hwpx -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 6차).hwpx,,HWPX,2026-08-21
8b39ddbc-892a-4987-8ceb-a4d5f7b9c40a,e74r_r6_to_r7,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,AMENDMENT,공고(2026년 6차).pdf → 공고(2026년 7차).pdf,,,data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 6차).hwpx -> data/raw/지역특화_숙련가능인력_E-7-4R/공고_지침/충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 7차).hwpx,,HWPX,2026-08-21
