document_requirement_id,stage_id,document_name,document_category,filled_by,submitted_by,submission_target,signer,requirement_status,alternative_group,condition_note,display_order,valid_from,valid_to,source_document_id,source_page,last_verified_at,notes
8f28a393-d0e4-4f33-ae7c-56de386bd45a,ac419d10-617a-4fdf-a160-ceec3259432f,지역특화형 비자사업 추천서 발급신청서,APPLICATION,외국인 신청인 본인,외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),신청인,REQUIRED,,,10,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,14-15,2026-08-24,"document_forms.csv 서식1. required_attachments 원문: 여권사본(인적사항면), 사진, 외국인등록증, 외국인등록사실증명, (필요시)위임장(서식1-2) — 개별 document_requirements 행 및 document_attachment_relations로 별도 표현함."
38f87f10-58d7-45c4-8773-1b9fafd83bfd,ac419d10-617a-4fdf-a160-ceec3259432f,위임장,OTHER,위임인(신청인 본인) 및 수임인,대리인(수임인),시군 지역특화비자 담당부서(○○시장·군수),"위임인, 수임인",CONDITIONAL,,"본인이 직접 신청하면 제출 불필요 — 대리신청(부득이한 경우, 행정사 등)일 때만 필요",20,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,16,2026-08-24,document_forms.csv 서식1-2.
4644e464-e8f3-4b11-aafd-741f5fa8c4d9,ac419d10-617a-4fdf-a160-ceec3259432f,점수제 자체 심사표,OTHER,외국인 본인,외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),작성자(외국인 본인),REQUIRED,,,30,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,17,2026-08-24,document_forms.csv 서식3.
1285146a-a7ab-4067-bf58-27bdca5cdb73,ac419d10-617a-4fdf-a160-ceec3259432f,신상 기술서,OTHER,외국인 본인,외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),작성자(외국인 본인),REQUIRED,,,40,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,18,2026-08-24,document_forms.csv 서식4.
9f7377b5-6a67-4e5c-baf4-e095e57a6321,ac419d10-617a-4fdf-a160-ceec3259432f,고용기업 추천서,RECOMMENDATION,고용기업 대표자(추천자),현재 근무처(외국인 본인이 시군에 같이 제출),시군 지역특화비자 담당부서(○○시장·군수),고용기업 대표자(추천자),REQUIRED,,,50,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,19,2026-08-24,document_forms.csv 서식5. required_attachments 원문: 추천자 신분증 사본(주민등록증 또는 운전면허증) — 별도 document_requirements 행 + attachment relation으로 표현함.
51dfe979-f2b1-4a49-bf23-c889f175fe3a,ac419d10-617a-4fdf-a160-ceec3259432f,외국인근로자 표준근로계약서(예시),EMPLOYMENT,사용자(고용주) 및 근로자(외국인) 공동,외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),"사용자, 근로자",REQUIRED,,,60,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,20-21,2026-08-24,document_forms.csv 서식6.
8ede6bdc-94c9-4ff4-994a-3dcef1d54b78,ac419d10-617a-4fdf-a160-ceec3259432f,신원보증서(별지 제129호),OTHER,신원보증인(고용주),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),신원보증인,REQUIRED,,,70,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,22,2026-08-24,document_forms.csv 서식7.
fc854714-d6b9-4d96-aa21-284be718d9c0,5b636b06-5984-4191-bdb6-f5b329334329,광역지자체장 추천서,RECOMMENDATION,광역지자체(충청북도),시군(법무부 제출용),관할 출입국·외국인관서(법무부),추천기관(직인),REQUIRED,,,80,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,23,2026-08-24,document_forms.csv 서식8.
925b35e4-9280-464c-a805-9934d8d156b4,e51a4dfb-7caa-422c-bfec-b7e77ea70261,통합신청서(출입국관리법 시행규칙 별지 제34호서식),APPLICATION,신청인(외국인) 본인,법무부 제출용,관할 출입국·외국인관서(법무부),"신청인, (해당 시) 배우자·부모",REQUIRED,,,90,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,24,2026-08-24,"document_forms.csv 서식9. required_attachments 원문: 여권용 사진, 시군 제출 서류 일체, 체류자격별 첨부서류(「출입국관리법 시행규칙」 별표5의2 참고) — '시군 제출 서류 일체'는 이미 제출된 모든 서류가 사건과 함께 이동한다는 의미이지 새 물리 문서가 아니므로 document_attachment_relations 행을 개별로 만들지 않음(task-7-brief.md 지침에 따름)."
286b1be1-66fb-4602-bbb5-139e1b76f629,ac419d10-617a-4fdf-a160-ceec3259432f,여권사본(인적사항면),IDENTITY,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,,100,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,공고문 9페이지 제출서류 목록 1번 항목(신청서 등과 함께 묶여있던 6개 문서 중 1개) 분리.
968ec1e7-5981-48cb-b84b-bf3ae3d88b3f,ac419d10-617a-4fdf-a160-ceec3259432f,사진,IDENTITY,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,,110,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,공고문 9페이지 제출서류 목록 1번 항목 분리.
3cebb2b0-1788-4537-8c50-ce15d14d47f7,ac419d10-617a-4fdf-a160-ceec3259432f,외국인등록증,IDENTITY,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,,120,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,공고문 9페이지 제출서류 목록 1번 항목 분리.
00894495-7528-4f58-842b-f72363d685ea,ac419d10-617a-4fdf-a160-ceec3259432f,외국인등록사실증명,IDENTITY,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,,130,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,공고문 9페이지 제출서류 목록 1번 항목 분리.
69662887-9ecd-4440-a5ad-7fbc53d25003,ac419d10-617a-4fdf-a160-ceec3259432f,세무서 발행 소득금액증명원,INCOME,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,최근 2년간 평균소득 확인용,140,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
620a2aa0-5511-441d-bf44-cf733ba1aae3,ac419d10-617a-4fdf-a160-ceec3259432f,한국어능력 입증서류 - TOPIK 성적표,OTHER,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),ALTERNATIVE,LANGUAGE_PROOF,"원문: '한국어능력 입증을 TOPIK으로 할 경우만 점수표를 제출하고, 사회통합프로그램 이수나 사전평가 점수로 하는 경우 이수증이나 사전평가 성적표 제출 생략' — 문장 자체는 다소 모호하나, TOPIK 성적표 / 사회통합프로그램 이수증 / 사전평가 성적표 중 하나만 제출하면 된다는 취지로 해석하여 3개 대체(ALTERNATIVE) 행으로 분리함(alternative_group=LANGUAGE_PROOF).",150,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
cb65fe94-86f8-4aac-8149-c8cbfce3ca3a,ac419d10-617a-4fdf-a160-ceec3259432f,한국어능력 입증서류 - 사회통합프로그램 이수증,OTHER,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),ALTERNATIVE,LANGUAGE_PROOF,"원문: '한국어능력 입증을 TOPIK으로 할 경우만 점수표를 제출하고, 사회통합프로그램 이수나 사전평가 점수로 하는 경우 이수증이나 사전평가 성적표 제출 생략' — 문장 자체는 다소 모호하나, TOPIK 성적표 / 사회통합프로그램 이수증 / 사전평가 성적표 중 하나만 제출하면 된다는 취지로 해석하여 3개 대체(ALTERNATIVE) 행으로 분리함(alternative_group=LANGUAGE_PROOF).",160,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
fdf050ba-ff7f-41af-ac0e-26ce8f19066d,ac419d10-617a-4fdf-a160-ceec3259432f,한국어능력 입증서류 - 사전평가 성적표,OTHER,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),ALTERNATIVE,LANGUAGE_PROOF,"원문: '한국어능력 입증을 TOPIK으로 할 경우만 점수표를 제출하고, 사회통합프로그램 이수나 사전평가 점수로 하는 경우 이수증이나 사전평가 성적표 제출 생략' — 문장 자체는 다소 모호하나, TOPIK 성적표 / 사회통합프로그램 이수증 / 사전평가 성적표 중 하나만 제출하면 된다는 취지로 해석하여 3개 대체(ALTERNATIVE) 행으로 분리함(alternative_group=LANGUAGE_PROOF).",170,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
a5a02353-5574-449d-85c6-383367973bb5,ac419d10-617a-4fdf-a160-ceec3259432f,거주지 입증서류,RESIDENCE,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,"예: 부동산임대차계약서, 부동산등기부등본 등",180,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
37171b6d-e56b-4568-b347-9140117dd2b9,ac419d10-617a-4fdf-a160-ceec3259432f,사업자등록증 사본,EMPLOYMENT,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),ALTERNATIVE,EMPLOYER_REGISTRATION_PROOF,사업자등록증 사본 또는 농업경영체등록 중 택1,190,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
f14db98e-3f4b-4dfa-823d-c7e24af8af6a,ac419d10-617a-4fdf-a160-ceec3259432f,농업경영체등록(국립농산물품질관리원),EMPLOYMENT,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),ALTERNATIVE,EMPLOYER_REGISTRATION_PROOF,사업자등록증 사본 또는 농업경영체등록 중 택1,200,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
14daba75-ac05-4fee-a659-fd6605cbddd6,ac419d10-617a-4fdf-a160-ceec3259432f,납세증명서,EMPLOYMENT,해당 없음(발급기관 발급서류),외국인 본인,시군 지역특화비자 담당부서(○○시장·군수),해당 없음(발급기관 발급서류),REQUIRED,,기업의 세금체납 여부 확인용,210,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-24,
